id,full_date,year,year_week,year_day,fiscal_year,fiscal_qtr,month,month_name,week_day,day_name,day_is_weekday
2014-02-28,2014-02-28,2014,8,28,2014,1,2,February,5,Friday,1
2014-07-18,2014-07-18,2014,28,18,2014,3,7,July,5,Friday,1
2014-08-24,2014-08-24,2014,34,24,2014,3,8,August,0,Sunday,0
2014-11-14,2014-11-14,2014,45,14,2014,4,11,November,5,Friday,1
2015-03-23,2015-03-23,2015,12,23,2015,1,3,March,1,Monday,1
2015-03-28,2015-03-28,2015,12,28,2015,1,3,March,6,Saturday,0
2015-06-02,2015-06-02,2015,22,2,2015,2,6,June,2,Tuesday,1
2015-06-23,2015-06-23,2015,25,23,2015,2,6,June,2,Tuesday,1
2015-08-30,2015-08-30,2015,35,30,2015,3,8,August,0,Sunday,0
2015-09-02,2015-09-02,2015,35,2,2015,3,9,September,3,Wednesday,1
2015-10-08,2015-10-08,2015,40,8,2015,4,10,October,4,Thursday,1
2015-11-21,2015-11-21,2015,46,21,2015,4,11,November,6,Saturday,0
2016-01-06,2016-01-06,2016,1,6,2016,1,1,January,3,Wednesday,1
2016-02-07,2016-02-07,2016,6,7,2016,1,2,February,0,Sunday,0
2016-04-27,2016-04-27,2016,17,27,2016,2,4,April,3,Wednesday,1
2016-10-21,2016-10-21,2016,42,21,2016,4,10,October,5,Friday,1
2016-12-04,2016-12-04,2016,49,4,2016,4,12,December,0,Sunday,0
2016-12-07,2016-12-07,2016,49,7,2016,4,12,December,3,Wednesday,1
2017-03-08,2017-03-08,2017,10,8,2017,1,3,March,3,Wednesday,1
2017-03-16,2017-03-16,2017,11,16,2017,1,3,March,4,Thursday,1
2017-07-19,2017-07-19,2017,29,19,2017,3,7,July,3,Wednesday,1
2017-08-29,2017-08-29,2017,35,29,2017,3,8,August,2,Tuesday,1
2017-09-27,2017-09-27,2017,39,27,2017,3,9,September,3,Wednesday,1
2018-03-18,2018-03-18,2018,11,18,2018,1,3,March,0,Sunday,0
2018-03-30,2018-03-30,2018,12,30,2018,1,3,March,5,Friday,1
2018-04-04,2018-04-04,2018,13,4,2018,2,4,April,3,Wednesday,1
2018-05-06,2018-05-06,2018,18,6,2018,2,5,May,0,Sunday,0
2018-10-06,2018-10-06,2018,39,6,2018,4,10,October,6,Saturday,0
2018-11-25,2018-11-25,2018,47,25,2018,4,11,November,0,Sunday,0
2019-01-13,2019-01-13,2019,2,13,2019,1,1,January,0,Sunday,0
2019-02-03,2019-02-03,2019,5,3,2019,1,2,February,0,Sunday,0
2019-02-20,2019-02-20,2019,7,20,2019,1,2,February,3,Wednesday,1
2019-02-25,2019-02-25,2019,8,25,2019,1,2,February,1,Monday,1
2019-04-15,2019-04-15,2019,15,15,2019,2,4,April,1,Monday,1
2019-05-09,2019-05-09,2019,18,9,2019,2,5,May,4,Thursday,1
2019-05-17,2019-05-17,2019,19,17,2019,2,5,May,5,Friday,1
2019-05-31,2019-05-31,2019,21,31,2019,2,5,May,5,Friday,1
2019-09-25,2019-09-25,2019,38,25,2019,3,9,September,3,Wednesday,1
2019-11-19,2019-11-19,2019,46,19,2019,4,11,November,2,Tuesday,1
2019-12-22,2019-12-22,2019,51,22,2019,4,12,December,0,Sunday,0
2020-01-31,2020-01-31,2020,4,31,2020,1,1,January,5,Friday,1
2020-03-13,2020-03-13,2020,10,13,2020,1,3,March,5,Friday,1
2020-04-02,2020-04-02,2020,13,2,2020,2,4,April,4,Thursday,1
2020-04-07,2020-04-07,2020,14,7,2020,2,4,April,2,Tuesday,1
2020-05-27,2020-05-27,2020,21,27,2020,2,5,May,3,Wednesday,1
2020-08-07,2020-08-07,2020,31,7,2020,3,8,August,5,Friday,1
2020-09-06,2020-09-06,2020,36,6,2020,3,9,September,0,Sunday,0
2020-09-12,2020-09-12,2020,36,12,2020,3,9,September,6,Saturday,0
2021-01-28,2021-01-28,2021,4,28,2021,1,1,January,4,Thursday,1
2021-03-22,2021-03-22,2021,12,22,2021,1,3,March,1,Monday,1
2021-05-06,2021-05-06,2021,18,6,2021,2,5,May,4,Thursday,1
2021-05-29,2021-05-29,2021,21,29,2021,2,5,May,6,Saturday,0
2021-06-09,2021-06-09,2021,23,9,2021,2,6,June,3,Wednesday,1
2021-07-10,2021-07-10,2021,27,10,2021,3,7,July,6,Saturday,0
2021-07-25,2021-07-25,2021,30,25,2021,3,7,July,0,Sunday,0
2021-08-22,2021-08-22,2021,34,22,2021,3,8,August,0,Sunday,0
2021-08-23,2021-08-23,2021,34,23,2021,3,8,August,1,Monday,1
2021-09-23,2021-09-23,2021,38,23,2021,3,9,September,4,Thursday,1
2021-10-21,2021-10-21,2021,42,21,2021,4,10,October,4,Thursday,1
2022-02-01,2022-02-01,2022,5,1,2022,1,2,February,2,Tuesday,1
2022-04-04,2022-04-04,2022,14,4,2022,2,4,April,1,Monday,1
2022-04-21,2022-04-21,2022,16,21,2022,2,4,April,4,Thursday,1
2022-08-18,2022-08-18,2022,33,18,2022,3,8,August,4,Thursday,1
2022-09-07,2022-09-07,2022,36,7,2022,3,9,September,3,Wednesday,1
2022-09-18,2022-09-18,2022,38,18,2022,3,9,September,0,Sunday,0
2022-09-22,2022-09-22,2022,38,22,2022,3,9,September,4,Thursday,1
2022-10-16,2022-10-16,2022,42,16,2022,4,10,October,0,Sunday,0
2022-10-20,2022-10-20,2022,42,20,2022,4,10,October,4,Thursday,1
2022-10-21,2022-10-21,2022,42,21,2022,4,10,October,5,Friday,1
2022-12-27,2022-12-27,2022,52,27,2022,4,12,December,2,Tuesday,1
2014-03-11,2014-03-11,2014,10,11,2014,1,3,March,2,Tuesday,1
2014-04-30,2014-04-30,2014,17,30,2014,2,4,April,3,Wednesday,1
2014-07-24,2014-07-24,2014,29,24,2014,3,7,July,4,Thursday,1
2014-08-04,2014-08-04,2014,31,4,2014,3,8,August,1,Monday,1
2014-08-28,2014-08-28,2014,34,28,2014,3,8,August,4,Thursday,1
2014-12-08,2014-12-08,2014,49,8,2014,4,12,December,1,Monday,1
2015-01-21,2015-01-21,2015,3,21,2015,1,1,January,3,Wednesday,1
2015-01-22,2015-01-22,2015,3,22,2015,1,1,January,4,Thursday,1
2015-02-27,2015-02-27,2015,8,27,2015,1,2,February,5,Friday,1
2015-04-15,2015-04-15,2015,15,15,2015,2,4,April,3,Wednesday,1
2015-04-29,2015-04-29,2015,17,29,2015,2,4,April,3,Wednesday,1
2015-12-13,2015-12-13,2015,50,13,2015,4,12,December,0,Sunday,0
2016-02-16,2016-02-16,2016,7,16,2016,1,2,February,2,Tuesday,1
2016-03-09,2016-03-09,2016,10,9,2016,1,3,March,3,Wednesday,1
2016-03-23,2016-03-23,2016,12,23,2016,1,3,March,3,Wednesday,1
2016-03-24,2016-03-24,2016,12,24,2016,1,3,March,4,Thursday,1
2016-05-28,2016-05-28,2016,21,28,2016,2,5,May,6,Saturday,0
2016-06-06,2016-06-06,2016,23,6,2016,2,6,June,1,Monday,1
2016-08-14,2016-08-14,2016,33,14,2016,3,8,August,0,Sunday,0
2016-10-11,2016-10-11,2016,41,11,2016,4,10,October,2,Tuesday,1
2016-11-01,2016-11-01,2016,44,1,2016,4,11,November,2,Tuesday,1
2016-11-28,2016-11-28,2016,48,28,2016,4,11,November,1,Monday,1
2017-01-08,2017-01-08,2017,2,8,2017,1,1,January,0,Sunday,0
2017-01-29,2017-01-29,2017,5,29,2017,1,1,January,0,Sunday,0
2017-05-30,2017-05-30,2017,22,30,2017,2,5,May,2,Tuesday,1
2017-07-17,2017-07-17,2017,29,17,2017,3,7,July,1,Monday,1
2017-08-14,2017-08-14,2017,33,14,2017,3,8,August,1,Monday,1
2017-09-23,2017-09-23,2017,38,23,2017,3,9,September,6,Saturday,0
2017-09-26,2017-09-26,2017,39,26,2017,3,9,September,2,Tuesday,1
2017-10-30,2017-10-30,2017,44,30,2017,4,10,October,1,Monday,1
2017-12-02,2017-12-02,2017,48,2,2017,4,12,December,6,Saturday,0
2018-01-21,2018-01-21,2018,3,21,2018,1,1,January,0,Sunday,0
2018-05-01,2018-05-01,2018,17,1,2018,2,5,May,2,Tuesday,1
2018-05-30,2018-05-30,2018,21,30,2018,2,5,May,3,Wednesday,1
2018-09-24,2018-09-24,2018,38,24,2018,3,9,September,1,Monday,1
2018-10-09,2018-10-09,2018,40,9,2018,4,10,October,2,Tuesday,1
2018-10-22,2018-10-22,2018,42,22,2018,4,10,October,1,Monday,1
2018-10-27,2018-10-27,2018,42,27,2018,4,10,October,6,Saturday,0
2018-10-28,2018-10-28,2018,43,28,2018,4,10,October,0,Sunday,0
2019-02-11,2019-02-11,2019,6,11,2019,1,2,February,1,Monday,1
2019-04-29,2019-04-29,2019,17,29,2019,2,4,April,1,Monday,1
2019-05-25,2019-05-25,2019,20,25,2019,2,5,May,6,Saturday,0
2019-06-09,2019-06-09,2019,23,9,2019,2,6,June,0,Sunday,0
2019-06-12,2019-06-12,2019,23,12,2019,2,6,June,3,Wednesday,1
2019-06-20,2019-06-20,2019,24,20,2019,2,6,June,4,Thursday,1
2019-08-27,2019-08-27,2019,34,27,2019,3,8,August,2,Tuesday,1
2019-09-04,2019-09-04,2019,35,4,2019,3,9,September,3,Wednesday,1
2019-10-31,2019-10-31,2019,43,31,2019,4,10,October,4,Thursday,1
2019-11-08,2019-11-08,2019,44,8,2019,4,11,November,5,Friday,1
2019-11-21,2019-11-21,2019,46,21,2019,4,11,November,4,Thursday,1
2019-12-16,2019-12-16,2019,50,16,2019,4,12,December,1,Monday,1
2019-12-31,2019-12-31,2019,52,31,2019,4,12,December,2,Tuesday,1
2020-02-07,2020-02-07,2020,5,7,2020,1,2,February,5,Friday,1
2020-02-11,2020-02-11,2020,6,11,2020,1,2,February,2,Tuesday,1
2020-04-22,2020-04-22,2020,16,22,2020,2,4,April,3,Wednesday,1
2020-06-04,2020-06-04,2020,22,4,2020,2,6,June,4,Thursday,1
2020-07-15,2020-07-15,2020,28,15,2020,3,7,July,3,Wednesday,1
2020-11-16,2020-11-16,2020,46,16,2020,4,11,November,1,Monday,1
2020-11-19,2020-11-19,2020,46,19,2020,4,11,November,4,Thursday,1
2020-11-28,2020-11-28,2020,47,28,2020,4,11,November,6,Saturday,0
2020-12-30,2020-12-30,2020,52,30,2020,4,12,December,3,Wednesday,1
2021-04-04,2021-04-04,2021,14,4,2021,2,4,April,0,Sunday,0
2021-06-11,2021-06-11,2021,23,11,2021,2,6,June,5,Friday,1
2021-06-20,2021-06-20,2021,25,20,2021,2,6,June,0,Sunday,0
2021-06-22,2021-06-22,2021,25,22,2021,2,6,June,2,Tuesday,1
2021-08-05,2021-08-05,2021,31,5,2021,3,8,August,4,Thursday,1
2021-09-05,2021-09-05,2021,36,5,2021,3,9,September,0,Sunday,0
2021-10-06,2021-10-06,2021,40,6,2021,4,10,October,3,Wednesday,1
2021-11-25,2021-11-25,2021,47,25,2021,4,11,November,4,Thursday,1
2021-12-14,2021-12-14,2021,50,14,2021,4,12,December,2,Tuesday,1
2022-01-30,2022-01-30,2022,5,30,2022,1,1,January,0,Sunday,0
2022-10-28,2022-10-28,2022,43,28,2022,4,10,October,5,Friday,1
2022-11-17,2022-11-17,2022,46,17,2022,4,11,November,4,Thursday,1
2014-05-17,2014-05-17,2014,19,17,2014,2,5,May,6,Saturday,0
2014-05-25,2014-05-25,2014,21,25,2014,2,5,May,0,Sunday,0
2014-06-17,2014-06-17,2014,24,17,2014,2,6,June,2,Tuesday,1
2014-07-19,2014-07-19,2014,28,19,2014,3,7,July,6,Saturday,0
2014-08-16,2014-08-16,2014,32,16,2014,3,8,August,6,Saturday,0
2014-09-09,2014-09-09,2014,36,9,2014,3,9,September,2,Tuesday,1
2014-09-22,2014-09-22,2014,38,22,2014,3,9,September,1,Monday,1
2014-11-13,2014-11-13,2014,45,13,2014,4,11,November,4,Thursday,1
2015-01-15,2015-01-15,2015,2,15,2015,1,1,January,4,Thursday,1
2015-04-07,2015-04-07,2015,14,7,2015,2,4,April,2,Tuesday,1
2015-05-14,2015-05-14,2015,19,14,2015,2,5,May,4,Thursday,1
2015-07-15,2015-07-15,2015,28,15,2015,3,7,July,3,Wednesday,1
2015-07-19,2015-07-19,2015,29,19,2015,3,7,July,0,Sunday,0
2015-07-23,2015-07-23,2015,29,23,2015,3,7,July,4,Thursday,1
2015-09-04,2015-09-04,2015,35,4,2015,3,9,September,5,Friday,1
2015-11-04,2015-11-04,2015,44,4,2015,4,11,November,3,Wednesday,1
2015-11-10,2015-11-10,2015,45,10,2015,4,11,November,2,Tuesday,1
2015-12-26,2015-12-26,2015,51,26,2015,4,12,December,6,Saturday,0
2016-02-24,2016-02-24,2016,8,24,2016,1,2,February,3,Wednesday,1
2016-03-31,2016-03-31,2016,13,31,2016,1,3,March,4,Thursday,1
2016-04-11,2016-04-11,2016,15,11,2016,2,4,April,1,Monday,1
2016-06-04,2016-06-04,2016,22,4,2016,2,6,June,6,Saturday,0
2016-06-29,2016-06-29,2016,26,29,2016,2,6,June,3,Wednesday,1
2016-08-02,2016-08-02,2016,31,2,2016,3,8,August,2,Tuesday,1
2016-10-02,2016-10-02,2016,40,2,2016,4,10,October,0,Sunday,0
2016-10-04,2016-10-04,2016,40,4,2016,4,10,October,2,Tuesday,1
2017-04-22,2017-04-22,2017,16,22,2017,2,4,April,6,Saturday,0
2017-05-28,2017-05-28,2017,22,28,2017,2,5,May,0,Sunday,0
2017-06-23,2017-06-23,2017,25,23,2017,2,6,June,5,Friday,1
2017-06-24,2017-06-24,2017,25,24,2017,2,6,June,6,Saturday,0
2017-08-16,2017-08-16,2017,33,16,2017,3,8,August,3,Wednesday,1
2018-01-09,2018-01-09,2018,1,9,2018,1,1,January,2,Tuesday,1
2018-03-09,2018-03-09,2018,9,9,2018,1,3,March,5,Friday,1
2018-04-19,2018-04-19,2018,15,19,2018,2,4,April,4,Thursday,1
2018-04-30,2018-04-30,2018,17,30,2018,2,4,April,1,Monday,1
2018-07-13,2018-07-13,2018,27,13,2018,3,7,July,5,Friday,1
2018-08-07,2018-08-07,2018,31,7,2018,3,8,August,2,Tuesday,1
2018-11-03,2018-11-03,2018,43,3,2018,4,11,November,6,Saturday,0
2019-01-24,2019-01-24,2019,3,24,2019,1,1,January,4,Thursday,1
2019-03-02,2019-03-02,2019,8,2,2019,1,3,March,6,Saturday,0
2019-03-21,2019-03-21,2019,11,21,2019,1,3,March,4,Thursday,1
2019-05-27,2019-05-27,2019,21,27,2019,2,5,May,1,Monday,1
2019-06-27,2019-06-27,2019,25,27,2019,2,6,June,4,Thursday,1
2019-07-30,2019-07-30,2019,30,30,2019,3,7,July,2,Tuesday,1
2019-08-20,2019-08-20,2019,33,20,2019,3,8,August,2,Tuesday,1
2019-09-19,2019-09-19,2019,37,19,2019,3,9,September,4,Thursday,1
2019-11-10,2019-11-10,2019,45,10,2019,4,11,November,0,Sunday,0
2019-11-28,2019-11-28,2019,47,28,2019,4,11,November,4,Thursday,1
2020-01-15,2020-01-15,2020,2,15,2020,1,1,January,3,Wednesday,1
2020-02-08,2020-02-08,2020,5,8,2020,1,2,February,6,Saturday,0
2020-04-06,2020-04-06,2020,14,6,2020,2,4,April,1,Monday,1
2020-05-10,2020-05-10,2020,19,10,2020,2,5,May,0,Sunday,0
2020-05-26,2020-05-26,2020,21,26,2020,2,5,May,2,Tuesday,1
